"coefficient_name","coefficient_estimate"
"(Intercept)",3.76248088206881
"age30-44",-0.345259009324926
"age45-64",-0.409339549956314
"age65+",-0.346433864250599
"educationcollege graduate",0.082132730603909
"educationhigh school graduate",-0.128633452993368
"educationsome college",-0.0959469027955457
"ideologyliberal",2.62165684470359
"ideologymoderate",1.3754245480874
"partyother",-1.62375089759332
"partyrepublican",-3.46614537304669
"racehispanic",-2.35031867623583
"raceother",-2.74064169880677
"racewhite",-3.07171857781233
"sexmale",-0.0232137835968659
"state_contestednessquasi-battleground",NA
"state_contestednesssolid obama",NA
"state_contestednesssolid romney",NA
"stateAL",-0.928317699462396
"stateAR",-0.779170890592694
"stateAZ",-1.01812548180775
"stateCA",0.389981873084015
"stateCO",0.537759640759232
"stateCT",0.513571609702355
"stateDE",1.63623360121556
"stateFL",-0.317114120166147
"stateGA",-0.350122747297046
"stateIA",0.715740023491288
"stateID",-0.226450555925495
"stateIL",0.403716640186461
"stateIN",-0.0393505481928827
"stateKS",0.51966072350844
"stateKY",-0.564534874279647
"stateLA",-1.07861037617835
"stateMA",0.181320665082446
"stateMD",0.000855640616753404
"stateME",-0.070658669992924
"stateMI",0.0600245057469545
"stateMN",0.894258824074257
"stateMO",-0.0175285116102616
"stateMS",-1.32895897319554
"stateMT",-0.367731243973781
"stateNC",-0.308183698243512
"stateND",-0.0821672564294172
"stateNE",0.432752507277676
"stateNH",0.763525197864396
"stateNJ",0.178740509870748
"stateNM",0.572961101146488
"stateNV",-0.266186690493099
"stateNY",0.26445735892161
"stateOH",0.248720950117171
"stateOK",-0.914364407979013
"stateOR",0.836158636253581
"statePA",0.282969098501285
"stateRI",0.8948554979432
"stateSC",-0.14213058178466
"stateSD",-0.478480460374186
"stateTN",-0.783169142206753
"stateTX",-0.56056706211718
"stateUT",0.588875596534154
"stateVA",-0.327936632911138
"stateVT",1.44477814288976
"stateWA",0.723850419529142
"stateWI",0.723963833956002
"stateWV",-0.951517386734253
"stateWY",-0.390329124395479
